Year,Season,Rk,Player,Pos,Week,Team,Opp,Targets,Rec,Pct,Yds,TD,Long,YdsPerTarget,YdsPerRec,Rush,Yds,TD,Fum,Lost,FantasyPts
2016,REG,9,Randall Telfer,TE,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Seth DeValve,TE,2,CLE,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Randall Telfer,TE,3,CLE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Seth DeValve,TE,3,CLE,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,13,Randall Telfer,TE,4,CLE,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,1,Jason Witten,TE,1,DAL,NYG,14,9,64,66,0,17,5,7,0,0,0,0,0,11.10
2016,REG,2,Jason Witten,TE,4,DAL,SF,9,7,78,47,0,8,5,7,0,0,0,0,0,8.20
2016,REG,3,Jason Witten,TE,2,DAL,WAS,4,3,75,51,0,29,13,17,0,0,0,0,0,6.60
2016,REG,4,Jason Witten,TE,5,DAL,CIN,5,3,60,43,0,31,9,14,0,0,0,0,0,5.80
2016,REG,5,Geoff Swaim,TE,2,DAL,WAS,2,2,100,29,0,28,15,15,1,1,0,0,0,4.00
2016,REG,6,Jason Witten,TE,3,DAL,CHI,2,2,100,25,0,18,13,13,0,0,0,0,0,3.50
2016,REG,7,Geoff Swaim,TE,1,DAL,NYG,1,1,100,21,0,21,21,21,0,0,0,0,0,2.60
2016,REG,8,Gavin Escobar,TE,1,DAL,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,9,Gavin Escobar,TE,2,DAL,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,10,Gavin Escobar,TE,3,DAL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,11,Geoff Swaim,TE,3,DAL,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,12,Gavin Escobar,TE,4,DAL,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
