Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,YdsPerAtt,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2016,REG,8,Alfred Blue,RB,4,HOU,TEN,3,19,6,0,1,1,4,0,0,0,2.80
2016,REG,9,Jonathan Grimes,RB,2,HOU,KC,1,8,8,0,3,1,13,0,0,0,2.60
2016,REG,10,Tyler Ervin,RB,1,HOU,CHI,1,3,3,0,2,1,5,0,0,0,1.30
2016,REG,11,Alfred Blue,RB,3,HOU,NE,2,12,6,0,0,0,0,0,0,0,1.20
2016,REG,12,Alfred Blue,RB,2,HOU,KC,5,11,2,0,0,0,0,0,0,0,1.10
2016,REG,13,Jay Prosch,RB,4,HOU,TEN,1,0,0,0,1,1,6,0,0,0,1.10
2016,REG,14,Alfred Blue,RB,1,HOU,CHI,1,4,4,0,0,0,0,0,0,0,0.40
2016,REG,15,Jay Prosch,RB,1,HOU,CHI,1,2,2,0,0,0,0,0,0,0,0.20
2016,REG,16,Jonathan Grimes,RB,1,HOU,CHI,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,17,Jay Prosch,RB,2,HOU,KC,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,18,Tyler Ervin,RB,2,HOU,KC,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,19,Jay Prosch,RB,3,HOU,NE,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,20,Tyler Ervin,RB,4,HOU,TEN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,21,Jay Prosch,RB,5,HOU,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,22,Tyler Ervin,RB,5,HOU,MIN,0,0,0,0,0,0,0,0,0,0,0.00
2016,REG,23,Tyler Ervin,RB,3,HOU,NE,0,0,0,0,0,0,0,0,1,1,-2.00
2016,REG,1,Frank Gore,RB,4,IND,JAX,16,68,4,1,6,5,27,0,0,0,18.00
2016,REG,2,Frank Gore,RB,3,IND,LAC,21,82,4,1,3,1,1,0,1,0,14.80
2016,REG,3,Frank Gore,RB,2,IND,DEN,13,44,3,0,3,3,19,1,0,0,13.80
2016,REG,4,Frank Gore,RB,1,IND,DET,14,59,4,0,6,4,19,0,0,0,9.80
2016,REG,5,Frank Gore,RB,5,IND,CHI,14,75,5,0,2,1,4,0,0,0,8.40
