Year,Season,Rk,Player,Pos,Week,Team,Opp,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,FantasyPts
2017,REG,5,Matt Breida,RB,1,SF,CAR,4,11,3,0,0,0,0,0,0,0,1.10
2017,REG,6,Raheem Mostert,RB,1,SF,CAR,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,7,Kyle Juszczyk,RB,2,SF,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Raheem Mostert,RB,2,SF,SEA,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Jacquizz Rodgers,RB,2,TB,CHI,19,67,4,1,0,0,0,0,0,0,12.70
2017,REG,2,Peyton Barber,RB,2,TB,CHI,10,47,5,0,0,0,0,0,0,0,4.70
2017,REG,3,Charles Sims,RB,2,TB,CHI,2,2,1,0,3,2,7,0,1,1,1.90
2017,REG,4,Alan Cross,RB,2,TB,CHI,0,0,0,0,1,1,6,0,0,0,1.60
2017,REG,1,Derrick Henry,RB,2,TEN,JAX,14,92,7,1,0,0,0,0,0,0,15.20
2017,REG,2,DeMarco Murray,RB,1,TEN,OAK,12,44,4,0,2,2,16,0,0,0,8.00
2017,REG,3,Jalston Fowler,RB,2,TEN,JAX,1,3,3,1,0,0,0,0,0,0,6.30
2017,REG,4,DeMarco Murray,RB,2,TEN,JAX,9,25,3,0,2,1,3,0,0,0,3.80
2017,REG,5,Derrick Henry,RB,1,TEN,OAK,6,25,4,0,0,0,0,0,0,0,2.50
2017,REG,6,David Fluellen,RB,2,TEN,JAX,3,18,6,0,0,0,0,0,0,0,1.80
2017,REG,7,David Fluellen,RB,1,TEN,OAK,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,8,Jalston Fowler,RB,1,TEN,OAK,0,0,0,0,0,0,0,0,0,0,0.00
2017,REG,1,Chris Thompson,RB,2,WAS,LAR,3,77,26,2,7,3,29,0,0,0,25.60
2017,REG,2,Chris Thompson,RB,1,WAS,PHI,3,4,1,0,5,4,52,1,0,0,15.60
2017,REG,3,Rob Kelley,RB,2,WAS,LAR,12,78,7,0,0,0,0,0,0,0,7.80
2017,REG,4,Samaje Perine,RB,2,WAS,LAR,21,67,3,0,1,1,0,0,0,0,7.70
2017,REG,5,Rob Kelley,RB,1,WAS,PHI,10,30,3,0,1,0,0,0,0,0,3.00
2017,REG,6,Samaje Perine,RB,1,WAS,PHI,0,0,0,0,0,0,0,0,0,0,0.00
