"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"21842-38301","TE","Darren","Darren Fells","Fells","5.185714176722935","7","4900","CLE@DET","DET","CLE","","","",""
"21842-21971","TE","Coby","Coby Fleener","Fleener","4.949999809265137","8","4900","NO@BUF","NO","BUF","","","",""
"21842-39445","WR","Brice","Brice Butler","Butler","5.399999891008649","7","4900","DAL@ATL","DAL","ATL","","","",""
"21842-25290","RB","Giovani","Giovani Bernard","Bernard","5.512499809265137","8","4900","CIN@TEN","CIN","TEN","","","",""
"21842-26458","WR","Tavon","Tavon Austin","Austin","3.0875000953674316","8","4900","HOU@LAR","LAR","HOU","","","",""
"21842-15212","WR","Terrelle","Terrelle Pryor Sr.","Pryor Sr.","5","8","4900","MIN@WAS","WAS","MIN","","","",""
"21842-33703","WR","Ryan","Ryan Grant","Grant","6.175000190734863","8","4900","MIN@WAS","WAS","MIN","","","",""
"21842-24671","WR","Adam","Adam Humphries","Humphries","5.574999809265137","8","4800","NYJ@TB","TB","NYJ","","","",""
"21842-80001","RB","Austin","Austin Ekeler","Ekeler","4.675000190734863","8","4800","LAC@JAC","LAC","JAC","","","",""
"21842-62616","RB","Zach","Zach Zenner","Zenner","1.899999976158142","4","4800","CLE@DET","DET","CLE","","","",""
"21842-25813","WR","Phillip","Phillip Dorsett","Dorsett","2.799999952316284","4","4800","NE@DEN","NE","DEN","","","",""
"21842-11495","WR","Brandon","Brandon LaFell","LaFell","4.912499904632568","8","4800","CIN@TEN","CIN","TEN","","","",""
"21842-12534","D","Tennessee","Tennessee Titans","Titans","5.5","8","4800","CIN@TEN","TEN","CIN","","","",""
"21842-12540","D","Minnesota","Minnesota Vikings","Vikings","6.75","8","4800","MIN@WAS","MIN","WAS","","","",""
"21842-29949","WR","Marvin","Marvin Hall","Hall","10.5","1","4800","DAL@ATL","ATL","DAL","","","",""
"21842-32058","K","Chris","Chris Boswell","Boswell","9.25","8","4800","PIT@IND","PIT","IND","","","",""
"21842-22959","WR","Deonte","Deonte Thompson","Thompson","6.912499904632568","8","4800","NO@BUF","BUF","NO","","","",""
"21842-6672","TE","Marcedes","Marcedes Lewis","Lewis","5.550000190734863","8","4800","LAC@JAC","JAC","LAC","","","",""
"21842-47640","RB","Branden","Branden Oliver","Oliver","2.1200000762939455","5","4800","LAC@JAC","LAC","JAC","","","",""
"21842-6767","K","Ryan","Ryan Succop","Succop","11.5","8","4800","CIN@TEN","TEN","CIN","","","",""
"21842-29314","TE","Richard","Richard Rodgers","Rodgers","2.1000000635782876","3","4800","GB@CHI","GB","CHI","","","",""
"21842-32429","K","Josh","Josh Lambo","Lambo","11.5","2","4800","LAC@JAC","JAC","LAC","","","",""
"21842-40687","RB","James","James Conner","Conner","1.2714285169328963","7","4800","PIT@IND","PIT","IND","","","",""
"21842-15176","K","Kai","Kai Forbath","Forbath","11","8","4800","MIN@WAS","MIN","WAS","","","",""
"21842-39829","WR","Mike","Mike Williams","Williams","1.0666666825612385","3","4800","LAC@JAC","LAC","JAC","","","",""
"21842-14245","RB","Shane","Shane Vereen","Vereen","4.349999904632568","8","4800","NYG@SF","NYG","SF","","","",""
