QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,QB,Garrett Gilbert (9725762),Garrett Gilbert,9725762,QB,4000,ATL@CAR 11/05/2017 01:00PM ET,CAR,
,,,,,,,,,,RB,D'Onta Foreman (9726192),D'Onta Foreman,9726192,RB,4000,IND@HOU 11/05/2017 01:00PM ET,HOU,
,,,,,,,,,,QB,Jeff Driskel (9725879),Jeff Driskel,9725879,QB,4000,CIN@JAX 11/05/2017 01:00PM ET,CIN,
,,,,,,,,,,RB,Jacquizz Rodgers (9725694),Jacquizz Rodgers,9725694,RB,4000,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Ryan Griffin (9725726),Ryan Griffin,9725726,QB,4000,TB@NO 11/05/2017 01:00PM ET,TB,
,,,,,,,,,,QB,Taysom Hill (9725756),Taysom Hill,9725756,QB,4000,TB@NO 11/05/2017 01:00PM ET,NO,
,,,,,,,,,,QB,Brandon Allen (9725918),Brandon Allen,9725918,QB,4000,LAR@NYG 11/05/2017 01:00PM ET,LAR,
,,,,,,,,,,QB,Davis Webb (9726097),Davis Webb,9726097,QB,4000,LAR@NYG 11/05/2017 01:00PM ET,NYG,
,,,,,,,,,,WR,Bennie Fowler (9725782),Bennie Fowler,9725782,WR,4000,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,QB,Chad Kelly (9726003),Chad Kelly,9726003,QB,4000,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,QB,Paxton Lynch (9726022),Paxton Lynch,9726022,QB,4000,DEN@PHI 11/05/2017 01:00PM ET,DEN,
,,,,,,,,,,WR,Jeremy Maclin (9725604),Jeremy Maclin,9725604,WR,4000,BAL@TEN 11/05/2017 01:00PM ET,BAL,
,,,,,,,,,,QB,Brandon Weeden (9725634),Brandon Weeden,9725634,QB,4000,BAL@TEN 11/05/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Aldrick Robinson (9725660),Aldrick Robinson,9725660,WR,4000,ARI@SF 11/05/2017 04:05PM ET,SF,
,,,,,,,,,,WR,Jaron Brown (9725718),Jaron Brown,9725718,WR,4000,ARI@SF 11/05/2017 04:05PM ET,ARI,
,,,,,,,,,,WR,Cole Beasley (9725704),Cole Beasley,9725704,WR,4000,KC@DAL 11/05/2017 04:25PM ET,DAL,
,,,,,,,,,,QB,Tyler Bray (9725800),Tyler Bray,9725800,QB,4000,KC@DAL 11/05/2017 04:25PM ET,KC,
,,,,,,,,,,QB,Connor Cook (9726211),Connor Cook,9726211,QB,4000,OAK@MIA 11/05/2017 08:30PM ET,OAK,
